Country Name,Country Code,Series Name,Series Code,1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Colombia,COL,"Population, total",SP.POP.TOTL,37291946,37944414,38585033,39215135,39837875,40454050,41057687,41648268,42220940,42772910,43306582,43815313,44313917,44816108,45308899,45782417,46237930,46677947,47119728,47625955,48351671,49276961,50187406,50930662,51516562
Colombia,COL,Population growth (annual %),SP.POP.GROW,1.78395611076054,1.73449209300479,1.6742155832136,1.61983140551157,1.57553237214944,1.53486691614177,1.48113157054236,1.42817053070487,1.36565233876962,1.29886517669187,1.23996744251378,1.16787354604705,1.13154130595269,1.12688471543895,1.09358307436582,1.03966499994087,0.990034781454962,0.947136923375947,0.941994067106625,1.068611890834,1.51228960592288,1.89558675057496,1.83074694246543,1.47010203160178,1.14382091580962
Colombia,COL,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35.7,42.5,..
Colombia,COL,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,..,21.4,17.5,21,14.2,13,12,10.7,..,..,11,9.6,8.3,6.8,6.7,6.1,5.4,4.9,4.9,4.3,4.5,5.3,10.8,..
Colombia,COL,Income share held by lowest 20%,SI.DST.FRST.20,..,..,2,1.9,2.4,3.2,3.5,3.5,3.6,..,..,3,3.3,3.3,3.5,3.5,3.5,3.6,3.8,3.9,4.1,4,3.7,2.8,..
Colombia,COL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.492,70.738,70.926,71.32,71.502,71.939,72.361,72.695,73.081,73.468,73.837,74.295,74.742,75.033,75.32,75.597,75.827,76.043,76.257,76.471,76.646,76.748,76.752,74.769,..
Colombia,COL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.742,2.683,2.627,2.572,2.516,2.458,2.395,2.33,2.263,2.198,2.137,2.081,2.033,1.992,1.958,1.93,1.905,1.883,1.863,1.843,1.818,1.787,1.765,1.737,..
Colombia,COL,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,91.3,92.1,88.3,93.1,94.5,95,95.6,92.6,97.1,97.8,98.1,98.6,95.6,99.2,98.7,98.7,98.9,95.9,95.9,99.3,98.4,98.8,..,..
Colombia,COL,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,27.8,26.8,25.9,25.1,24.3,23.6,22.8,22.2,21.5,20.9,20.2,19.6,19,18.4,17.8,17.2,16.7,16.1,15.6,15.1,14.6,14.1,13.7,13.3,12.8
Colombia,COL,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,..,4.9,..,..,..,..,5,..,..,..,..,3.4,..,..,..,..,..,3.7,..,..,..,..,..
Colombia,COL,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..,95.5641937255859,96.7185363769531,96.0116806030273,92.8008575439453,92.8196029663086,..,100.103973388672,104.173110961914,110.58097076416,112.731727600098,113.021713256836,117.861930847168,116.955993652344,115.310020446777,109.66822052002,99.7944412231445,99.2422027587891,100.033050537109,101.711250305176,105.986801147461,106.769386291504,106.765731811523,103.751747131348,..
Colombia,COL,"School enrollment, primary (% gross)",SE.PRM.ENRR,..,120.848983764648,119.637107849121,119.383941650391,116.248573303223,117.153053283691,..,119.581008911133,121.52661895752,122.430236816406,123.152473449707,123.645751953125,124.578910827637,120.323211669922,117.669471740723,114.960052490234,116.26921081543,114.544418334961,115.231887817383,116.233703613281,114.983268737793,114.526657104492,114.000991821289,112.675773620605,..
